Coding,Well name,Depth,Date,pH,Temperature,O2,Redox,DOC,iron (2+),Manganese (II),chloride,nitrite,nitrite - N,nitrate,nitrate - N,sulphates,benzene,toluene,ethylbenzene,o-xylene,(m+p)-xylene,xylenes (0.7 factor),totaal BTEX (0.7 factor),naphthalene
-,-,m,-,-,°C,mg/l,mV,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l
NL_CW_W_1,CW1_EFF-1-1,0,,7,23,4.02,-83,17,"5,3","3,8",44,0,0,0,0,36,150,21,110,43,35,78,359,160
NL_CW_W_2,CW1MF09-1-2,0,,7.19,22.9,1.08,-138,28,16,"3,7",47,0,0,0,0,0,110,2,44,31,14,45,201,0
NL_CW_W_3,CW1MF10-1-2,0,,7.01,22.8,0.4,-132.5,12,"4,8","3,2",67,0,0,0,0,39,650,88,380,150,130,280,1398,730
NL_CW_W_4,CW1MF06-1-1,0,,7.05,23.8,0.37,-134,23,17,"3,9",63,0,0,0,0,0,310,18,28,14,6,20,376,2
NL_CW_W_5,INF-1-1,0,,0,0,0,0,14,"0,3","0,9",65,0,0,0,0,73,690,190,910,330,590,920,2710,4900
NL_CW_W_6,CW1MF01-1-2,0,,6.8,25.5,0.46,-166,17,18,"4,3",61,0,0,0,0,0,320,19,18,11,4,15,372,3
NL_CW_W_7,CW1MF02-1-2,0,,7.1,23.1,0.26,-192,12,"1,5","1,4",65,0,0,0,0,59,510,120,600,230,310,540,1770,1700
NL_CW_W_8,CW1MF05-1-1,0,,7.02,24.8,0.36,-133,32,"4,6","5,1",13,0,0,0,0,0,3,1,2,1,1,1,6,9
NL_CW_W_9,CW2MF05-1-2,0,,7.12,23.4,0.5,-183.2,13,"5,9","3,1",65,0,0,0,0,33,880,140,620,230,260,490,2130,1100
NL_CW_W_10,CW2MF06-1-1,0,,6.92,24.1,0.23,-132,12,"4,9","2,8",64,0,0,0,0,38,770,110,530,190,290,480,1890,520
NL_CW_W_11,CW2_EFF-1-1,0,,6.88,24,0.75,-146,13,"6,3","3,7",62,0,0,0,0,37,680,63,370,150,200,350,1463,510
NL_CW_W_12,CW2MF01-1-1,0,,6.9,23.9,0.88,-118,16,15,"5,3",62,0,0,0,0,6,440,30,33,20,14,34,537,1
NL_CW_W_13,CW2MF02-1-1,0,,7.09,24.1,0.16,-164,12,"1,2","1,2",65,0,0,0,0,58,740,140,640,230,380,610,2130,1400
NL_CW_W_14,CW2MF09-1-1,0,,6.9,24.2,0.78,-132,22,15,"4,4",53,0,0,0,0,0,130,3,6,2,3,5,143,10
NL_CW_W_15,CW2MF10-1-1,0,,6.91,24.2,0.34,-128,12,"3,6","2,8",65,0,0,0,0,45,730,100,490,190,290,480,1800,980
NL_CW_W_16,CW3_EFF-1-1,0,,7.01,23.8,0.48,-141,24,"7,6","4,2",61,0,0,0,0,42,510,13,260,90,76,166,949,360
NL_CW_W_17,CW3MF01-1-1,0,,6.8,22.9,0.41,-131,31,22,"5,0",59,0,0,0,0,0,120,2,2,1,0,3,127,4
NL_CW_W_18,CW3MF02-1-1,0,,6.9,24,0,-109,12,"1,4","1,4",65,0,0,0,0,49,850,120,620,250,290,540,2130,1400
NL_CW_W_19,CW3MF05-1-1,0,,7.08,24.1,0.28,-159,"4,5","4,3","1,5",56,0,0,0,0,240,1,0,1,0,0,1,3,5
NL_CW_W_20,CW3MF06-1-1,0,,7.11,22.8,0.22,-163,11,"1,8","2,1",66,0,0,0,0,52,570,31,350,150,150,300,1251,900
NL_CW_W_21,CW3MF09-1-1,0,,6.91,24,4.7,-117,39,24,"5,8",16,0,0,0,0,0,7,0,2,0,0,2,11,8
NL_CW_W_22,CW3MF10-1-1,0,,7.02,23.5,0.41,-132,10,"2,1","2,7",65,0,0,0,0,47,630,18,370,140,120,260,1278,890
