sample_nr,obs_well,Benzene,Toluene,Ethylbenzene,O Xylene,P/M Xylene,Naphthalene,Acenaphthylene,depth,pH,O2,Redox,Fe II,Mn,chloride,nitrite,Nitrite - N,nitrate,nitrate - N,sulfate
,,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,m,,mg/l,mV,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l
NL_CW_W_11,CW1_EFF-1-2,140,0,73,40,17,150,25,0,7.08,4.5,-80,10,"3,3",58,0,0,0,0,16
NL_CW_W_12,CW1MF09-1-3,330,0,130,140,65,320,"<0,1",0,7.09,3.08,-108,23,"3,6",65,0,0,0,0,0
NL_CW_W_13,CW1MF10-1-3,560,0,370,220,130,1700,85,0,7.18,0.42,-112,"1,7","1,6",67,0,0,0,0,50
NL_CW_W_14,CW1MF06-1-2,550,75,440,180,190,1800,120,0,7.12,0.39,-139,"2,2","0,9",67,0,0,0,0,42
NL_CW_W_15,IINF-1-2,610,140,690,260,450,3700,250,0,0.0,0,0,"1,2","0,9",68,0,0,0,0,81
NL_CW_W_16,CW1MF01-1-3,480,0,480,270,140,5,"<0,1",0,6.95,2.3,-123,23,"3,9",67,0,0,0,0,32
NL_CW_W_17,CW1MF02-1-3,480,60,360,190,220,2600,140,0,7.08,0.39,-153,"0,4","0,9",68,0,0,0,0,68
NL_CW_W_18,CW1MF05-1-2,570,11,450,250,150,840,"<0,1",0,6.99,3.1,-122,23,"4,0",67,0,0,0,0,16
NL_CW_W_19,CW2MF05-1-2,110,1,24,13,9,1,"<0,1",0,7.33,0.6,-152,35,"6,7",62,0,0,0,0,0
NL_CW_W_110,CW2MF06-1-2,580,31,420,210,230,280,38,0,6.98,0.37,-142,"4,2","2,0",67,0,0,0,0,40
NL_CW_W_111,CW2_EFF-1-3,670,14,410,250,200,350,110,0,7.09,0.51,-87,"1,4","1,2",67,0,0,0,0,55
NL_CW_W_112,CW2MF01-1-2,530,0,500,230,180,510,"<0,1",0,6.95,3.51,-99,12,"2,6",68,0,0,0,0,54
NL_CW_W_113,CW2MF02-1-2,520,97,470,200,300,1200,130,0,7.18,0.36,-1.35,"0,6","1,0",68,0,0,0,0,68
NL_CW_W_114,CW2MF09-1-2,570,12,260,130,110,110,"2,3",0,7.05,5.7,-122,21,"4,0",62,0,0,0,0,0
NL_CW_W_115,CW2MF10-1-2,660,34,400,210,190,710,58,0,7.02,0.49,-115,"2,4","2,1",67,0,0,0,0,42
NL_CW_W_116,CW3_EFF-1-2,230,7,190,65,44,1,"1,8",0,6.99,0.52,-82,"1,1","0,5",51,0,0,0,0,31
NL_CW_W_117,CW3MF01-1-2,550,13,140,110,59,0,"0,11",0,7.09,4.3,-106,25,"3,8",63,0,0,0,0,0
NL_CW_W_118,CW3MF02-1-2,590,49,650,240,280,1400,80,0,6.92,0.49,-145,"0,5","0,8",70,0,0,0,0,58
NL_CW_W_119,CW3MF05-1-2,3,0,4,2,2,0,"<0,1",0,6.98,6.9,-89,"2,5","6,9",68,0,0,0,0,10
NL_CW_W_120,CW3MF06-1-2,450,29,320,150,130,270,25,0,7.06,42,-112,"0,8","0,9",70,0,0,0,0,61
NL_CW_W_121,CW3MF09-1-2,170,1,25,13,6,3,"0,20",0,7.1,5.3,-89,24,"3,6",62,0,0,0,0,0
NL_CW_W_122,CW3MF10-1-2,750,38,550,240,200,2100,78,0,7.01,0.61,-105,"3,4","1,3",69,0,0,0,0,46
