sample_nr,obs_well,Fe II,Mn ,Chloride,Nitriet,Nitriet - N,Nitrate,Nitrite - N,sulfate,Benzene,Toluene,Ethylbenzene,P/M Xylene,O Xylene,Naphthalene,pH,O2,Redox
,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,,mg/l,mV
INF(INF-1-4),INF,"0,5",0.8,72,0,0,0,0,82,660,210,770,500,280,7000,0.0,0,0
CW1_EFF(CW1_EFF-1-4),CW1_EFF,10,2.7,62,0,0,0,0,24,150,0,100,29,33,320,7.16,1.65,-83
CW1MF01(CW1MF01-1-5),CW1MF01,"9,7","2,0",70,0,0,0,0,56,550,0,370,150,160,3000,7.11,5.1,-109
CW1MF02(CW1MF02-1-5),CW1MF02,"0,3","0,8",72,0,0,0,0,73,540,65,490,270,180,6600,7.08,0.53,-125
CW1MF05(CW1MF05-1-4),CW1MF05,13,"<0,5",71,0,0,0,0,45,470,0,260,88,150,0,7.21,3.9,-114
CW1MF06(CW1MF06-1-4),CW1MF06,"1,6","2,5",71,0,0,0,0,58,630,0,370,130,110,5600,7.22,0.66,-128
CW1MF09(CW1MF09-1-5),CW1MF09,14,3.5,69,0,0,0,0,38,730,7,360,120,220,0,7.11,6.58,-100
CW1MF10(CW1MF10-1-5),CW1MF10,"1,0",1.3,71,0,0,0,0,62,510,0,430,150,150,4500,7.3,0.73,-109
CW2_EFF(CW2_EFF-1-5),CW2_EFF,"1,5",1.5,68,0,0,0,0,61,620,9,560,190,180,4900,7.21,0.72,-112
CW2MF01(CW2MF01-1-4),CW2MF01,"5,2","1,4",69,0,0,0,0,68,730,0,740,290,230,1500,7.09,2.8,-108
CW2MF02(CW2MF02-1-4),CW2MF02,"0,3","0,7",71,0,0,0,0,73,540,120,590,340,200,7600,7.21,0.42,-152
CW2MF05(CW2MF05-1-4),CW2MF05,31,"5,6",60,0,0,0,0,6,180,2,30,10,15,13,7.08,0.61,-135
CW2MF06(CW2MF06-1-4),CW2MF06,"2,7","1,7",68,0,0,0,0,47,710,0,710,300,250,3600,7.08,0.42,-138
CW2MF09(CW2MF09-1-4),CW2MF09,16,"4,4",68,0,0,0,0,38,880,16,610,150,180,0,7.2,4.99,-109
CW2MF10(CW2MF10-1-4),CW2MF10,"1,4","1,5",70,0,0,0,0,57,920,9,860,290,280,2900,7.09,0.61,-130
CW3_EFF(CW3_EFF-1-4),CW3_EFF,"0,7",1.1,67,0,0,0,0,67,750,0,710,240,210,3000,7.08,0.39,-101
CW3MF01(CW3MF01-1-4),CW3MF01,18,"3,0",67,0,0,0,0,16,620,10,330,98,190,88,7.11,5.11,-118
CW3MF02(CW3MF02-1-4),CW3MF02,"0,4","1,0",69,0,0,0,0,70,760,57,630,330,250,6400,7.08,0.55,-133
CW3MF05(CW3MF05-1-4),CW3MF05,"0,9","4,7",68,0,0,0,0,70,1,0,2,1,1,4,6.99,6.98,-78
CW3MF06(CW3MF06-1-4),CW3MF06,"0,2","0,9",69,0,0,0,0,69,380,54,380,200,130,4700,7.11,0.51,-108
CW3MF09(CW3MF09-1-4),CW3MF09,21,"4,6",63,0,0,0,0,0,210,1,33,8,17,21,7.02,5.86,-86
CW3MF10(CW3MF10-1-4),CW3MF10,"0,6","1,2",68,0,0,0,0,65,560,0,390,150,130,2700,6.92,0.58,-98
