sample_nr,obs_well,Iron II,MN II,benzene,toluene,ethylbenzene,o-xylene,pm_-xylene,sum xylenes (factor 0.7),total BTEX (factor 0.7),naphthalene,naphthalene.1,chloride,nitrite,nitrite - N,nitrate,nitrate - N,sulfate,Oxygen
unit,-,mg/l,mg/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,mg/l,mg/l,mgN/l,mg/l,mgN/l,mg/l,mg/l
NL_CW_W_101,INF,1.9,1.1,610,110,490,210,280,490,1700,5000,4600,69,0,0,0,0,78,0
NL_CW_W_102,CW1MF01,26,5.3,420,17,150,110,63,173,760,120,100,65,0,0,0,0,0,4.9
NL_CW_W_103,CW1MF02,0.6,1,590,55,460,180,180,360,1465,3400,2700,68,0,0,0,0,66,0.46
NL_CW_W_104,CW1MF05,24,5,720,26,340,210,170,380,1466,210,190,68,0,0,0,0,0,3.5
NL_CW_W_105,CW1MF06,3,1.7,590,14,400,120,99,219,1223,2600,3000,68,0,0,0,0,43,0.33
NL_CW_W_106,CW1MF09,23,4.9,650,13,160,140,82,222,1045,95,72,67,0,0,0,0,0,7.8
NL_CW_W_107,CW1MF10,1.7,2.1,610,0,370,140,79,219,1206,2500,2400,68,0,0,0,0,44,0.38
NL_CW_W_108,CW1_EFF,6.6,3.5,170,0,130,43,29,72,375,620,290,53,0,0,0,0,14,4.2
NL_CW_W_109,CW2MF01,18,4.3,650,13,430,210,200,410,1503,250,230,68,0,0,0,0,22,4.25
NL_CW_W_110,CW2MF02,1,1.3,810,100,680,240,310,550,2140,4000,3200,69,0,0,0,0,66,0.25
NL_CW_W_111,CW2MF05,21,5.4,77,1,6,2,2,5,89,21,21,58,0,0,0,0,0,0.3
NL_CW_W_112,CW2MF06,5.8,2.6,650,45,510,180,200,380,1585,2700,2400,68,0,0,0,0,42,0.52
NL_CW_W_113,CW2MF09,18,3.9,580,5,180,100,90,190,955,27,32,69,0,0,0,0,0,5.25
NL_CW_W_114,CW2MF10,2,2,680,23,510,180,120,300,1513,2700,2000,69,0,0,0,0,47,0.73
NL_CW_W_115,CW2_EFF,3,2.1,610,0,370,140,80,220,1214,2600,2700,67,0,0,0,0,46,0.57
NL_CW_W_116,CW3MF01,26,4.6,380,9,66,37,27,64,519,60,110,65,0,0,0,0,0,7.48
NL_CW_W_117,CW3MF02,0.7,1.2,800,47,600,250,220,470,1917,3900,3500,70,0,0,0,0,61,0.45
NL_CW_W_118,CW3MF05,1.4,6,1,0,3,1,1,3,8,0.98,0,70,0,0,0,0,36,8.81
NL_CW_W_119,CW3MF06,0.6,1.1,440,29,370,140,150,290,1129,2300,3000,68,0,0,0,0,70,0.51
NL_CW_W_120,CW3MF09,25,5.1,43,1,26,9,9,19,89,190,110,56,0,0,0,0,0,6.88
NL_CW_W_121,CW3MF10,1.2,1.6,660,0,500,150,110,260,1427,2100,1900,68,0,0,0,0,50,0.53
NL_CW_W_122,CW3_EFF,3.6,2,600,12,490,170,97,267,1369,2000,1200,64,0,0,0,0,35,0.49
