sample_nr,obs_well,Iron II,MN II,benzene,toluene,ethylbenzene,o-xylene,pm_xylene,sum xylenes (factor 0.7),total BTEX (factor 0.7),naphthalene,naphthalene.1,chloride,nitrite,nitrite - N,nitrate,sulfate,Oxygen
unit,-,mg/l,mg/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,mg/l,mg/l,mgN/l,mg/l,mg/l,mg/l
NL_CW_W_301,INF,0.5,0.8,660,210,770,280,500,780,2420,5900,7000,72,0,0,0,82,0
NL_CW_W_302,CW1MF01,9.7,2,550,0,370,160,150,310,1244,2200,3000,70,0,0,0,56,5.1
NL_CW_W_303,CW1MF02,0.3,0.8,540,65,490,180,270,450,1545,3800,6600,72,0,0,0,73,0.53
NL_CW_W_304,CW1MF05,13,0,470,0,260,150,88,238,975,1800,0,71,0,0,0,45,3.9
NL_CW_W_305,CW1MF06,1.6,2.5,630,0,370,110,130,240,1275,2500,5600,71,0,0,0,58,0.66
NL_CW_W_306,CW1MF09,14,3.5,730,6,360,220,120,340,1436,1200,0,69,0,0,0,38,6.58
NL_CW_W_307,CW1MF10,1,1.3,510,0,430,150,150,300,1275,2900,4500,71,0,0,0,62,0.73
NL_CW_W_308,CW1_EFF,10,2.7,150,0,100,33,29,62,319,600,320,62,0,0,0,24,1.65
NL_CW_W_309,CW2MF01,5.2,1.4,730,0,740,230,290,520,2004,4700,1500,69,0,0,0,68,2.8
NL_CW_W_310,CW2MF02,0.3,0.7,540,120,590,200,340,540,1790,4400,7600,71,0,0,0,73,0.42
NL_CW_W_311,CW2MF05,31,5.6,180,1,30,15,9,24,236,19,13,60,0,0,0,6.2,0.61
NL_CW_W_312,CW2MF06,2.7,1.7,710,0,710,250,300,550,1984,3900,3600,68,0,0,0,47,0.42
NL_CW_W_313,CW2MF09,16,4.4,880,16,610,180,150,330,1836,710,0,68,0,0,0,38,4.99
NL_CW_W_314,CW2MF10,1.4,1.5,920,8,860,280,290,570,2358,4000,2900,70,0,0,0,57,0.61
NL_CW_W_315,CW2_EFF,1.5,1.5,620,8,560,180,190,370,1558,3900,4900,68,0,0,0,61,0.72
NL_CW_W_316,CW3MF01,18,3,620,10,330,190,98,288,1248,150,88,67,0,0,0,16,5.11
NL_CW_W_317,CW3MF02,0.4,1,760,57,630,250,330,580,2027,4500,6400,69,0,0,0,70,0.55
NL_CW_W_318,CW3MF05,0.9,4.7,0,0,1,0,0,1,4,7.1,4,68,0,0,0,70,6.98
NL_CW_W_319,CW3MF06,0.2,0.9,380,54,380,130,200,330,1144,2400,4700,69,0,0,0,69,0.51
NL_CW_W_320,CW3MF09,21,4.6,210,1,33,17,7,24,269,40,21,63,0,0,0,0,5.86
NL_CW_W_321,CW3MF10,0.6,1.2,560,0,390,130,150,280,1244,2600,2700,68,0,0,0,65,0.58
NL_CW_W_322,CW3_EFF,0.7,1.1,750,0,710,210,240,450,1924,4400,3000,67,0,0,0,67,0.39
