sample_nr,obs_well,Iron II,MN II,benzene,toluene,ethylbenzene,o-xylene,pm_xylene,sum xylenes (factor 0.7),total BTEX (factor 0.7),naphthalene,naphthalene.1,chloride,nitrite,nitrite - N,nitrate,nitrate - N,sulfate,Oxygen
unit,-,mg/l,mg/l,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,mg/l,mg/l,mgN/l,mg/l,mgN/l,mg/l,mg/l
NL_CW_W_401,INF,0.6,0.8,570,150,660,210,390,600,1980,4000,4800,71,0,0,0,0,87,0
NL_CW_W_402,CW1MF01,5.6,1.5,350,0,340,130,130,260,964,2600,3400,67,0,0,0,0,47,3.7
NL_CW_W_403,CW1MF02,0.4,0.8,210,0,200,88,99,187,604,1400,3100,70,0,0,0,0,77,0.44
NL_CW_W_404,CW1MF05,8.2,2.5,380,0,300,110,85,195,882,2400,16,67,0,0,0,0,15,5.5
NL_CW_W_405,CW1MF06,0.5,0.9,290,0,280,75,60,135,712,1400,2800,69,0,0,0,0,58,0.56
NL_CW_W_406,CW1MF09,8.7,1.2,270,0,290,110,100,210,773,1300,980,62,0,0,0,0,23,4.63
NL_CW_W_407,CW1MF10,0.8,1.1,260,0,230,70,62,132,629,1800,2400,69,0,0,0,0,61,0.22
NL_CW_W_408,CW1_EFF,5.5,1.7,190,0,160,36,31,67,420,960,730,73,0,0,0,0,16,1.89
NL_CW_W_409,CW2MF01,3.3,1.2,390,0,240,62,68,130,774,2800,600,67,0,0,0,0,54,4.44
NL_CW_W_410,CW2MF02,0.3,0.7,220,13,190,69,96,165,588,1400,3800,66,0,0,0,0,76,0.41
NL_CW_W_411,CW2MF05,10,8.6,61,0,12,5,3,8,82,15,5,63,0,0,0,0,6.2,5.88
NL_CW_W_412,CW2MF06,5.7,2.6,350,4,250,100,81,181,785,1500,2000,66,0,0,0,0,42,0.42
NL_CW_W_413,CW2MF09,11,3.5,470,0,320,82,90,172,965,820,930,67,0,0,0,0,0,6.52
NL_CW_W_414,CW2MF10,1.4,1.5,290,0,230,50,50,100,627,1300,2300,65,0,0,0,0,39,1.36
NL_CW_W_415,CW2_EFF,0.6,1.3,580,0,450,130,110,240,1273,2800,2600,68,0,0,0,0,56,0.71
NL_CW_W_416,CW3MF01,14,4.3,490,4,410,210,130,340,1244,460,670,68,0,0,0,0,0,1.06
NL_CW_W_417,CW3MF02,0.3,0.9,560,0,520,170,180,350,1465,4800,4300,70,0,0,0,0,67,0.6
NL_CW_W_418,CW3MF05,0.9,6.6,0,0,1,0,0,1,4,9.6,1100,65,0,0,0,0,68,2.11
NL_CW_W_419,CW3MF06,0.3,0.8,470,25,410,140,140,280,1185,2700,8100,70,0,0,0,0,70,0.45
NL_CW_W_420,CW3MF09,20,4.2,340,1,80,31,12,43,464,7.8,5,66,0,0,0,0,0,2.32
NL_CW_W_421,CW3MF10,0.4,1.1,680,0,530,130,93,223,1440,2800,3500,69,0,0,0,0,57,0.43
NL_CW_W_422,CW3_EFF,1.2,1.2,540,0,430,120,87,207,1191,3000,8300,73,0,0,0,0,44,0.29
