sample_nr,obs_well,Benzene,Toluene,Ethylbenzene,O Xylene,P/M Xylene,Naphthalene,Acenaphthylene,depth,pH,O2,Redox,Fe II,Mn,chloride,nitrite,Nitrite - N,nitrate,nitrate - N,sulfate
,,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,m,,mg/l,mV,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l
NL_CW_W_11,CW1_EFF-1-2,170,0,130,43,29,290,<20,0,7.09,4.2,-75,"6,6","3,5",53,0,0,0,0,14
NL_CW_W_12,CW1MF09-1-3,650,13,160,140,82,72,"<0,1",0,6.98,7.8,-92,23,"4,9",67,0,0,0,0,0
NL_CW_W_13,CW1MF10-1-3,610,0,370,140,79,2400,73,0,7.01,0.38,-98,"1,7","2,1",68,0,0,0,0,44
NL_CW_W_14,CW1MF06-1-2,590,14,400,120,99,3000,120,0,7.08,0.33,-154,"3,0","1,7",68,0,0,0,0,43
NL_CW_W_15,IINF-1-2,610,110,490,210,280,4600,230,0,0.0,0,0,"1,9","1,1",69,0,0,0,0,78
NL_CW_W_16,CW1MF01-1-3,420,17,150,110,63,100,"<0,1",0,6.88,4.9,-113,26,"5,3",65,0,0,0,0,0
NL_CW_W_17,CW1MF02-1-3,590,55,460,180,180,2700,85,0,7.11,0.46,-141,"0,6","1,0",68,0,0,0,0,66
NL_CW_W_18,CW1MF05-1-2,720,26,340,210,170,190,"<0,1",0,6.82,3.5,-142,24,"5,0",68,0,0,0,0,0
NL_CW_W_19,CW2MF05-1-2,77,1,6,3,3,21,"0,58",0,7.44,0.3,-104,21,"5,4",58,0,0,0,0,0
NL_CW_W_110,CW2MF06-1-2,650,45,510,180,200,2400,100,0,7.08,0.52,-115,"5,8","2,6",68,0,0,0,0,42
NL_CW_W_111,CW2_EFF-1-3,610,0,370,140,80,2700,120,0,7.01,0.57,-95,"3,0","2,1",67,0,0,0,0,46
NL_CW_W_112,CW2MF01-1-2,650,13,430,210,200,230,"<0,1",0,6.88,4.25,-97,18,"4,3",68,0,0,0,0,22
NL_CW_W_113,CW2MF02-1-2,810,100,680,240,310,3200,120,0,7.11,0.25,-144,"1,0","1,3",69,0,0,0,0,66
NL_CW_W_114,CW2MF09-1-2,580,5,180,100,90,32,"<0,1",0,6.91,5.25,-112,18,"3,9",69,0,0,0,0,0
NL_CW_W_115,CW2MF10-1-2,680,23,510,180,120,2000,99,0,7.01,0.73,-105,"2,0","2,0",69,0,0,0,0,47
NL_CW_W_116,CW3_EFF-1-2,600,12,490,170,97,1200,63,0,7.1,0.49,-75,"3,6","2,0",64,0,0,0,0,35
NL_CW_W_117,CW3MF01-1-2,380,9,66,37,27,110,"3,8",0,6.99,7.48,-95,26,"4,6",65,0,0,0,0,0
NL_CW_W_118,CW3MF02-1-2,800,47,600,250,220,3500,120,0,7.08,0.45,-128,"0,7","1,2",70,0,0,0,0,61
NL_CW_W_119,CW3MF05-1-2,2,0,3,2,2,1,"<0,1",0,7.08,8.81,-55,"1,4","6,0",70,0,0,0,0,36
NL_CW_W_120,CW3MF06-1-2,440,29,370,140,150,3000,120,0,7.05,0.51,-109,"0,6","1,1",68,0,0,0,0,70
NL_CW_W_121,CW3MF09-1-2,43,1,26,9,10,110,"<5,0",0,6.9,6.88,-99,25,"5,1",56,0,0,0,0,0
NL_CW_W_122,CW3MF10-1-2,660,0,500,150,110,1900,120,0,7.21,0.53,-84,"1,2","1,6",68,0,0,0,0,50
